Ort,Hochschulname,Studiengang,Bachelor,staatlich,Hochschultyp,long,lat
München,Campus M,Wirtschafts- & Werbepsychologie,Bachelor,privat,HAW,11.581981,48.135125
Nürnberg,Campus M,Wirtschafts- & Werbepsychologie,Bachelor,privat,HAW,11.07675,49.45203
Nürnberg,International University,Wirtschaftspsychologie,Bachelor,privat,HAW,11.07675,49.45203
Regensburg,International University,Wirtschaftspsychologie,Bachelor,privat,HAW,12.101624,49.01343
Würzburg,International University,Wirtschaftspsychologie,Bachelor,privat,HAW,9.953355,49.791304
München,International University,Wirtschaftspsychologie,Bachelor,privat,HAW,11.581981,48.135125
Hof,Staatliche Hochschule,Wirtschaftspsychologie,Bachelor,staatlich,HAW,11.912781,50.313539
Ansbach,Staatliche Hochschule,Angewandte Wirtschafts- und Medienpsychologie,Bachelor,staatlich,HAW,10.571936,49.300425
Weiden,Staatliche Hochschule,Angewandte Wirtschaftspsychologie,Bachelor,staatlich,HAW,12.148934,49.674364
Neu-Ulm,Staatliche Hochschule,Wirtschaftspsychologie,Bachelor,staatlich,HAW,10.00604,48.390604
Augsburg,FOM,Betriebswirtschaft & Wirtschaftspsychologie,Bachelor,privat,HAW,10.89779,48.370545
Nürnberg,FOM,Betriebswirtschaft & Wirtschaftspsychologie,Bachelor,privat,HAW,11.07675,49.45203
München,FOM,Betriebswirtschaft & Wirtschaftspsychologie,Bachelor,privat,HAW,11.581981,48.135125
Augsburg,International University,Wirtschafts- & Werbepsychologie,Bachelor,privat,HAW,10.89779,48.370545
München,Fresenius,Wirtschaftspsychologie,Bachelor,privat,HAW,11.581981,48.135125
Aschaffenburg,Staatliche Hochschule,Wirtschaftspsychologie,Bachelor,staatlich,HAW,9.135555,49.980663
Nürnberg,Hochschule für angewandtes Management,Wirtschaftspsychologie,Bachelor,privat,HAW,11.07675,49.45203
München,Hochschule für angewandtes Management,Wirtschaftspsychologie,Bachelor,privat,HAW,11.581981,48.135125
München,Hochschule für angewandtes Management,Wirtschaftspsychologie - Medienpsychologie,Bachelor,privat,HAW,11.581981,48.135125
Nürnberg,Hochschule für angewandtes Management,Wirtschaftspsychologie - Medienpsychologie,Bachelor,privat,HAW,11.07675,49.45203
München,Hochschule für angewandtes Management,Wirtschaftspsychologie - Social Media & Online Marketing,Bachelor,privat,HAW,11.581981,48.135125
Nürnberg,Hochschule für angewandtes Management,Wirtschaftspsychologie - Social Media & Online Marketing,Bachelor,privat,HAW,11.07675,49.45203
Eichstätt,Katholische Universität Eichstätt-Ingolstadt,,Master,staatlich,Uni,11.189986,48.891251
München,Macromedia,Wirtschaftspsychologie,Bachelor,privat,HAW,11.581981,48.135125
Rosenheim,Staatliche Hochschule,Wirtschaftspsychologie,Bachelor,staatlich,HAW,12.1181,47.8571
Ingolstadt,Staatliche Hochschule,Wirtschaftspsychologie,Bachelor,staatlich,HAW,11.4258,48.7665